Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"regenerate@1.4.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"regexpu-core@6.4.0, regenerate-unicode-properties@10.2.2"
"regjsgen@0.8.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"regexpu-core@6.4.0"
"regjsparser@0.13.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-2-Clause",No,"regexpu-core@6.4.0"
"unicode-match-property-ecmascript@2.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"regexpu-core@6.4.0"
"unicode-match-property-value-ecmascript@2.2.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"regexpu-core@6.4.0"
"moo@0.5.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-3-Clause",No,"nearley@2.20.1"
"railroad-diagrams@1.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","CC0-1.0",No,"nearley@2.20.1"
"randexp@0.4.6","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"nearley@2.20.1"
"agent@3.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"make-fetch-happen@14.0.3"
"cacache@19.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"make-fetch-happen@14.0.3"
"http-cache-semantics@4.2.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BSD-2-Clause",No,"make-fetch-happen@14.0.3"
"minipass-fetch@4.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"make-fetch-happen@14.0.3"
"minipass-flush@1.0.7","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BlueOak-1.0.0",No,"make-fetch-happen@14.0.3, cacache@19.0.1"
"minipass-pipeline@1.2.4","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"make-fetch-happen@14.0.3, cacache@19.0.1"
"minipass@7.1.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BlueOak-1.0.0",No,"make-fetch-happen@14.0.3, tar@7.5.21, cacache@19.0.1, minipass-fetch@4.0.1, ssri@12.0.0, fs-minipass@4.0.1, minizlib@3.1.0, fs-minipass@3.0.3, minipass-collect@2.0.1, path-scurry@1.11.1"
"promise-retry@2.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"make-fetch-happen@14.0.3"
"ssri@12.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"make-fetch-happen@14.0.3, cacache@19.0.1"
"abbrev@3.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"nopt@8.1.0"
"fs-minipass@4.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"tar@7.5.21"
"chownr@3.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","BlueOak-1.0.0",No,"tar@7.5.21"
"minizlib@3.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"tar@7.5.21, minipass-fetch@4.0.1"
"end-of-stream@1.4.5","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"pump@3.0.4, tar-stream@2.2.0"
"deep-extend@0.6.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT AND MIT",No,"rc@1.2.8"
"ini@1.3.8","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"rc@1.2.8"
"decompress-response@6.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"simple-get@4.0.1"
"simple-concat@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"simple-get@4.0.1"
"tar-stream@2.2.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"tar-fs@2.1.5"
"astral-regex@1.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"slice-ansi@2.1.0"
